"PVWatts Hourly PV Performance Data"
"Requested Location","San Diego"
"Location","Lat, Lng: 32.73, -117.18"
"Latitude (DD)","32.73"
"Longitude (DD)","-117.18"
"Elevation (m)","24"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","47.94"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","23","0","0","0","14.8","1.2","0.15","0","14.8","0","0"
"3","23","1","0","0","14.7","1.3","0.15","0","14.7","0","0"
"3","23","2","0","0","14.6","1.4","0.15","0","14.6","0","0"
"3","23","3","0","0","14.5","1.4","0.15","0","14.5","0","0"
"3","23","4","0","0","14.5","1.5","0.15","0","14.5","0","0"
"3","23","5","0","0","14.7","1.5","0.15","0","14.7","0","0"
"3","23","6","322","38","15.4","1.3","0.15","82.803","17.568","212.609","189.221"
"3","23","7","0","70","16.3","1.1","0.15","51.225","17.828","168.1","146.289"
"3","23","8","0","70","17.5","1.3","0.15","51.253","18.952","165.354","143.641"
"3","23","9","114","293","18.7","1.9","0.15","344.216","27.234","1145.326","1088.888"
"3","23","10","658","226","19.5","2.4","0.15","832.805","38.232","2687.97","2576.87"
"3","23","11","513","313","19.9","3","0.15","809.384","36.243","2619.753","2511.071"
"3","23","12","304","402","19.9","3.7","0.15","669.245","31.977","2195.193","2101.554"
"3","23","13","405","327","19.6","4.1","0.15","664.481","30.928","2201.315","2107.459"
"3","23","14","880","103","18.9","4.3","0.15","772.825","31.762","2588.393","2480.821"
"3","23","15","524","159","18.5","4.4","0.15","452.89","25.948","1557.021","1485.995"
"3","23","16","510","91","16.6","4.1","0.15","266.417","21.114","882.197","835.083"
"3","23","17","118","37","15.3","3.8","0.15","42.661","16.013","111.818","92.002"
"3","23","18","0","0","14.5","3.5","0.15","0","14.5","0","0"
"3","23","19","0","0","14.1","3.2","0.15","0","14.1","0","0"
"3","23","20","0","0","13.9","3","0.15","0","13.9","0","0"
"3","23","21","0","0","13.9","3.1","0.15","0","13.9","0","0"
"3","23","22","0","0","13.8","3.1","0.15","0","13.8","0","0"
"3","23","23","0","0","13.8","3","0.15","0","13.8","0","0"
"3","24","0","0","0","13.7","3.1","0.15","0","13.7","0","0"
"3","24","1","0","0","13.6","3.1","0.15","0","13.6","0","0"
"3","24","2","0","0","13.6","3.1","0.15","0","13.6","0","0"
"3","24","3","0","0","13.5","3.1","0.15","0","13.5","0","0"
"3","24","4","0","0","13.3","2.9","0.15","0","13.3","0","0"
"3","24","5","0","0","13.3","2.9","0.15","0","13.3","0","0"
"3","24","6","0","33","13.4","3.1","0.15","24.055","13.876","75.435","56.908"
